cytoband	11q25	17q21.31	8p22	19p13.3	6q27	11p15.5	6q15	9p23	2q37.3	3p14.2	17p12	13q14.2	12q24.21	1p36.31	14q24.3	15q13.1	19q13.32	9p21.3	10q26.3	9q21.12	1p13.3	16q24.2	18q23	5q12.3	18p11.31	17p11.2	4p16.3	3p12.2	4q35.2	8p11.21	8q24.3	1p36.32	7q36.1	13q11	21q21.3	1p36.23	7p22.3	2p24.1	22q13.32	21q11.2	
						PANO1				SPATA12			LRRC43			SNORD115-39	ZNF114		KCNIP2-AS1		OLFM3	ABCC11		MBLAC2				LINC00877				SPSB1	PRKRIP1			CLSTN1		MIR4261	MIR4764		
						LOC101927503				TOPAZ1			TCP11L2			SNORD115-41	SPACA4		MIR1287		WDR63	NKD1		TMEM161B				CCDC66				CPTP	CBLL1			FOXJ3		MIR4263	MIR4535		
						LINC01150				C3orf62			TBX5-AS1			SNORD115-44	CADM4		MIR1307		MAB21L3	CNTNAP4		SRFBP1				TCAIM				ZNF436	ZNF767P			SCMH1		MIR3125	MIR5096		
						CD81-AS1				TMEM110			LOC283352			SNORD116-28	ADM5		MIR2110		SLC44A3	RSPRY1		MARVELD2				ZNF852				TAS1R2	CPED1			AKR7A3		MIR4262	EFCAB6-AS1		
						LOC101927708				PRSS45			ADGRD1			SNORD116-29	INAFM1		MIR548E		ATXN7L2	MYLK3		ARSK				ZNF660				TAS1R1	TTC26			TTC39A		LINC00276	APOBEC3B-AS1		
						OLFM5P				AMIGO3			MORN3			SNORD115-48	NAPSB		MIR378C		C1orf194	MARVELD3		FAM81B				KIF9-AS1				OR4F16	ORAI2			SPEN		MIR3681	APOBEC3A_B		
						TUB-AS1				ZNF662			GAS2L3			SNORD115-24	IL4I1		MIR4297		ASB17	MTSS1L		CCDC112				LINC00698				ACTL8	KDM7A			KDM1A		GTF3C2-AS1	ISX-AS1		
						LOC101928008				CDHR4			LINC00485			SNORD115-27	C19orf54		MIR3158-1		TYW3	CENPBD1		MIER3				EIF4E3				CCNL2	OR2AE1			WDTC1		LOC100505716	LOC101927051		
						LOC101928053				FAM212A			MYO1H			SNORD115-28	PRR19		MIR4295		ERICH3	ZNF276		CDC20B				CCDC36				SH3BGRL3	TSC22D4			EMC1		LOC100505736	LOC101927257		
						MIR6743				IQCF2			HECTD4			SNORD115-45	TMEM145		MIR3158-2		LRRIQ3	CCDC102A		PAPD4				PRSS42				SESN2	TRIM56			KIF1B		CEBPZOS	EP300-AS1		
						MIR8070				IQCF5			KSR2			SNORD115-47	CXCL17		MIR4296		LRRC39	KCNG4		DCP2				ZNF445				ESPN	TMUB1			MAST2		LINC01304	LOC101927447		
						MIR7847				MUSTN1			GATC			MIR147B	LOC284344		MIR3941		LIX1L	SDR42E1		NIM1K				SPATA12				TAS1R3	ARMC10			NCDN		RNASEH1-AS1	LOC101927526		
						MIR6744				IQCF3			HNF1A-AS1			LOC100128714	ZNF575		MIR3663		HSD3BP4	ABCC12		LIX1				TOPAZ1				ATAD3B	IMMP2L			SLC35D1		SIX3-AS1	LL22NC03-75H12.2		
						MIR6124				LINC00960			DDX51			LOC100130111	LYPD5		MIR3944		DRAM2	CMTM1		ZNF366				C3orf62				TMEM222	CTTNBP2			PLEKHM2		LOC100506142	MIR6069		
						LOC102724784				MIRLET7G			MMAB			SRP14-AS1	ZNF283		SLIT1-AS1		PIFO	PKD1L2		FAM151B				TMEM110				PLEKHN1	ZNF394			OTUD3		LOC100506274	MIR6819		
						HOTS				MIR135A1			HCAR2			ANKRD63	PPP1R37		LINC00866		C1orf162	RNF166		S100Z				PRSS45				USP48	MYH16			KAZN		ID2-AS1	MIR6820		
						BGLT3				MIR138-1			TMEM119			LOC100131315	NKPD1		RPARP-AS1		SYT6	EXOSC6		ADAMTS19				AMIGO3				NBPF3	SLC37A3			CAMTA1		MIR3681HG	MIR6821		
						CASC23				MIR191			LOC338797			HERC2P7	TPRX1		SH3PXD2A-AS1		SAMD13	C16orf46		CCDC125				ZNF662				ZDHHC18	KRBA1			ZCCHC11		LOC100506474	MIR7109		
						LINC01219				FAM19A1			LINC01089			GOLGA8F	MAMSTR		CFAP58-AS1		C1orf52	DNAAF1		LINC01554				CDHR4				SLC25A33	FAM71F1			SZT2		NT5C1B-RDH14	MIR6889		
						LOC105376554				EIF1B-AS1			C12orf74			GOLGA8DP	IZUMO1		SORCS3-AS1		TMEM56	NRN1L		GAPT				FAM212A				DDI2	SLC35B4			DNAJC16		MIR4430	LINC01315		
						SNORD131				TMEM89			EP400NL			JMJD7	EMC10		ADD3-AS1		NBPF4	CMTM3		CMYA5				IQCF2				LZIC	TMEM209			UBR4		MIR4765	LOC400927-CSNK1E		
										IQCF6			RILPL1			PLA2G4B	MYPOP		LINC00867		UBE2U	C16orf78		LVRN				IQCF5				TRIM63	TRIM4			USP24		MIR4757	LINC01399		
										SMIM4			C12orf42			POTEB2	NANOS2		BORCS7-ASMT		HFE2	SPATA2L		ANKRD31				MUSTN1				PERM1	OR6W1P			ATP13A2		MIR4429	MGAT3-AS1		
										MIR425			IL31			WHAMMP1	ZNF404		ARHGAP19-SLIT1		ANKRD35	SPATA33		SERINC5				VGLL3				CROCCP2	ADCK2			ITGB3BP		MIR548AD	LOC105373006		
										SNORA6			C12orf75			LOC100288637	ZNF284		FAM24B-CUZD1		SLC30A7	ANKRD26P1		LOC257396				IQCF3				SYTL1	PLXNA4			TARDBP		AGBL5-AS1	LOC105373021		
										LIMD1-AS1			CFAP73			LOC100289656	C19orf81		MIR4680		NBPF12	ZC3H18		KIAA0825				LINC00960				IGSF21	ZC3HAV1L			CELA3B		LINC00570	LOC105373031		
										SPINK8			TMEM233			MIR1233-1	ZNF233		MIR4483		MGC27382	CDYL2		GPR150				MIRLET7G				SNHG12	MYL10			ICMT		HS1BP3-IT1	LOC105373044		
										ARIH2OS			KMT5A			MIR1268A	B3GNT8		MIR4682		IL23R	SNX20		DTWD2				MIR135A1				CFAP74	MGAM2			MACF1		LOC101060385	LOC105373051		
										C3orf84			LINC00944			MIR1282	IGFL1		MIR4482		CHIAP2	TMEM170A		NBPF22P				MIR138-1				KIAA2013	ST7-AS1			PADI4		LOC101060391	LOC105373100		
										SNORD19			C12orf76			LOC100419583	C19orf68		MIR4484		DENND2C	SLC38A8		C5orf64				MIR191				THAP3	ST7-AS2			TMEM50A		RMDN2-AS1	SNORA92		
										FAM86DP			LINC00939			MIR3118-3	CEACAM22P		MIR4681		GBP6	ZFP90		RNF180				FAM19A1				STPG1	ST7-OT3			KPNA6		LOC101805491	SNORD140		
										SNORD69			FLJ37505			MIR1233-2	CEACAM16		MIR4685		PLPPR5	CARMIL2		SREK1IP1				STX19				UBXN11	CADPS2			SSBP3		LOC101926966			
										MIR564			MIR135A2			MIR3118-4	BLOC1S3		LINC00601		FNDC7	KCTD19		RGMB				EIF1B-AS1				C1orf158	CPA5			STX12		LOC101927043			
										MIR566			LOC414300			MIR3118-2	BHMG1		FANK1-AS1		SASS6	CMTM4		LINC00491				TMEM89				FBXO44	FOXP2			CLIC4		LINC01250			
										GXYLT2			PLEKHG7			MIR4310	IGFL3		LOC101927278		HFM1	CMTM2		RFESD				IQCF6				ATPIF1	CEP41			SYF2		LOC101928222			
										LOC729083			LOC440117			MIR3942	PINLYP		LINC01475		UBL4B	BEAN1		CHSY3				SMIM4				CROCCP3	ZBED6CL			PARS2		LINC01247			
										FAM198A			FZD10-AS1			INAFM2	LOC400706		LINC01163		NUDT4P2	SLC22A31		FAM170A				LINC00971				FHAD1	TSGA13			MMACHC		LOC101929452			
										CCR2			MIR331			RAD51-AS1	SIGLEC16		LINC01514		PDIA3P1	IL34		C5orf66-AS2				MIR425				LOC115110	AGAP3			ACOT11		LOC101929551			
										ESRG			EID3			DPH6-AS1	LOC400710		LOC101927419		ALG14	TMED6		LOC340074				SNORA6				RAB42	C7orf13			CHD5		LINC00211			
										SNORD19B			CLLU1OS			SERF2-C15ORF63	MIR150		LOC101927472		LINC00466	FRG2DP		LOC340090				LIMD1-AS1				FAM46B	OR9A4			SZRD1		LOC101929567			
										LINC00696			CLLU1			MIR4509-1	PSG8		TCERG1L-AS1		NBPF11	FLJ30679		ANKRD34B				SPINK8				RBP7	OR9A2			LDLRAP1		LOC101929596			
										SEMA3F-AS1			MIR492			MIR4509-2	MIR330		LOC101927523		NUDT17	LOC146513		MCIDAS				ARIH2OS				ACAP3	C7orf34			SERBP1		LOC101929715			
										NRADDP			MAP1LC3B2			MIR4508	IGFL4		LOC101927549		TCTEX1D1	ZFPM1		ACTBL2				C3orf84				UBE2J2	TMEM139			NOC2L		LOC101929723			
										ZNF717			LOC643339			MIR4510	ASPDH		LINC01166		SPAG17	ADAD2		FAM174A				SNORD19				KDF1	NOBOX			FBXO2		LOC101929733			
										LOC100132146			LOC643711			MIR4715	TMEM91		MIR202HG		HIPK1	ZFP1		MTX3				FAM86DP				LRRC38	OR2A14			FBXO6		LOC101929882			
										BSN-AS2			LOC643770			TMCO5B	LOC645553		LOC101927692		SLC44A5	ADAMTS18		CATSPER3				SNORD69				AADACL3	OR6B1			PLA2G2D		MIR7158			
										PRSS46			ANHX			MIR5701-2	PSG10P		MIR3663HG		AKR7A2P1	SNAI3-AS1		HCN1				MIR564				PUSL1	OR2F2			MYCBP		MIR7515			
										LINC00994			SNORA49			MIR5701-1	PHLDB3		FAM53B-AS1		EPHX4	LINC00311		SLCO4C1				MIR566				B3GALT6	ZNF786			HEYL		LOC102723362			
										FRG2C			SNORA53			SNORD116-30	SEC1P		EDRF1-AS1		AKNAD1	LDHD		TICAM2				GXYLT2				IFFO2	COL26A1			AGO1		LINC01248			
										MIR1284			MIR619			SNORD115-46	SNORD23		MIR6507		MCOLN2	FUK		C5orf34				LOC728290				TPRG1L	PRSS37			SNORA73B		LOC102723824			
										MIR1324			MIR620			LOC100996255	MIR642A		MIR6715B		COL24A1	MLKL		MAST4				LOC729083				FAM213B	KLF14			SNORD55		LOC102723854			
										MIR1226			C12orf73			POTEB	CCDC61		MIR6715A		ST6GALNAC3	ZNF778		RNF138P1				FAM198A				MYOM3	SSMEM1			RNU11		MIR7515HG			
										MIR2115			LOC728739			GOLGA8R	MIR769		NEURL1-AS1		NEGR1	ACSF3		TEX43				CCR2				KLHDC7A	SVOPL			RNU6-1		LINC01246			
										MIR711			TMPO-AS1			LOC101927079	SNAR-G1		LOC102724589		MAGI3	CPNE2		LOC389332				ESRG				VWA5B1	LRGUK			RNU5F-1		MYCNUT			
										MIR3136			LOC100128554			LOC101928042	SNAR-F		LOC103344931		FAM19A3	ADGRG5		RGS7BP				SNORD19B				UBXN10	ASB10			RNU5E-1		BIRC6-AS2			
										MIR4272			LOC100130238			LOC101928134	SNAR-A1		LINC01435		NBPF15	PRSS54		C5orf63				LINC00696				ARHGEF19	PRSS58			RNU5D-1		NRIR			
										MIR4271			LINC01405			LOC101928174	SNAR-A12		LINC01167		FAM102B	CES5A		MIR9-2				SEMA3F-AS1				ACTRT2	ASZ1			RNU1-3		LINC01317			
										MIR4273			USP30-AS1			LOC101928227	BSPH1		LOC105378470		SYPL2	ADGRG3		FLJ31104				NRADDP				MIB2	MUC17			RNU1-2		LINC01320			
										MIR3938			PGAM1P5			EHD4-AS1	SNAR-A3		AS-PTPRE		CYB561D1	CNEP1R1		LOC441081				ZNF717				C1orf127	RNF32			RNU1-1		GACAT3			
										MIR3923			LOC100190940			PLA2G4E-AS1	SNAR-A5		SNORA87		ANKRD34A	TERB1		LOC441086				LOC100132146				SAMD11	ASB15			RNF11		LOC105373352			
										KRBOX1			LINC00173			LOC101928414	SNAR-A7				ZNF326	CES4A		CRSP8P				BSN-AS2				LOC148413	BMT2			FOXD3		LOC105373394			
										KRBOX1-AS1			LOC100287944			PWRN3	SNAR-A11				BTBD8	EXOC3L1		NR2F1-AS1				PRSS46				PHF13	LOC154761			TRAPPC3		LOC105374389			
										PRKAR2A-AS1			ZNF605			GABRG3-AS1	SNAR-A4				HIST2H2AB	CASC22		C5orf56				LINC00994				LINC00337	CLEC2L			HSPB7		LINC01381			
										IQCF4			MIR1827			MIR8063	SNAR-A6				PPM1J	LOC283856		GPX8				FRG2C				CCDC27	FMC1			ARHGEF16		LINC01318			
										PTPRG-AS1			MIR1302-1			POTEB3	SNAR-A8				HIST2H3A	LINC00304		TIFAB				MIR1284				ZNF436-AS1	LINC00689			AHDC1					
										PSMD6-AS2			MIR1178			LOC102725022	SNAR-A10				HIST2H2BC	LINC00922		RGMB-AS1				MIR1324				LINC01225	FEZF1-AS1			TEKT2					
										ADAMTS9-AS2			MIR1251			PWRN4	SNAR-C2				HIST2H2BA	HCCAT5		LOC553103				MIR1226				PDIK1L	IQUB			SMPDL3B					
										ABHD14A-ACY1			MIR4303			LOC105370757	SNAR-C4				LINC01140	LINC01566		MIR449A				MIR2115				C1orf64	C7orf77			ANGPTL3					
										TMEM110-MUSTN1			MIR4304			LOC105370792	SNAR-E				CCDC18	LOC283922		CTXN3				MIR711				SLC2A7	C7orf66			LINC00339					
										MIR4793			MIR3685			LOC105370802	SNAR-B1				MYBPHL	NUDT7		LOC642366				MIR3136				CALML6	TMEM213			SSU72					
										MIR4787			MIR3612			LOC105370941	SNAR-C1				BARHL2	PDXDC2P		TMEM232				MIR4272				IFNLR1	GIMAP8			GNL2					
										MIR4444-1			MIR3652			LOC105370943	SNAR-C3				NBPF7	CLEC18C		SMIM15				MIR4271				FAM43B	CRYGN			UBIAD1					
										MIR4443			MIR3922			BUB1B-PAK6	SNAR-D				MIGA1	MT1DP		ARL14EPL				MIR4273				PAQR7	ZNF425			ALG6					
										PRICKLE2-AS1			MIR3657				SNAR-G2				NEXN-AS1	SNAI3		LOC644285				MIR3938				FAM76A	LOC155060			PADI1					
										RBM5-AS1			MIR3908				SRRM5				GBP7	LOC339059		LINC01184				MIR3923				TMEM201	ZNF746			PLA2G2E					
										MIR5193			LOC100505978				ERICH4				C1orf146	FAM92B		LOC644936				KRBOX1				FAAP20	ATP6V0E2			WRAP73					
										SNRK-AS1			LINC01234				SNAR-A14				FAM69A	ATXN1L		CCNI2				KRBOX1-AS1				TMEM51-AS1	RBM33			SLC45A1					
										MAGI1-AS1			LOC100506551				EML2-AS1				SLC6A17	PKD1L3		LINC00461				PRKAR2A-AS1				ATAD3C	MGC27345			HP1BP3					
										ITIH4-AS1			PXN-AS1				LOC100289650				C1orf137	CLEC18A		LOC647859				IQCF4				AKR7L	GALNTL5			CELA2B					
										VIPR1-AS1			NRAV				LOC100379224				NOTCH2NL	CTU2		GUSBP3				PTPRG-AS1				LINC01342	RNF133			ZNF593					
										SYNPR-AS1			LOC100506691				MIR3191				LINC01138	TEPP		GTF2H2B				PSMD6-AS2				TTLL10	THAP5			ZNF691					
										THOC7-AS1			LRCOL1				MIR3190				LOC388692	SLC6A10P		SNORA13				ADAMTS9-AS2				TMCO4	CCDC71L			TXNDC12					
										ZNF197-AS1			CLIP1-AS1				MIR320E				UOX	C16orf87		SCARNA18				ABHD14A-ACY1				ZNF683	GIMAP7			MECR					
										GLYCTK-AS1			LOC100507091				MIR4324				FRRS1	C16orf97		SNORA47				TMEM110-MUSTN1				MDS2	ZNF467			UTP11					
										CCDC13-AS1			LINC00943				MIR4323				C1orf141	LOC388282		MIR449B				MIR4793				NPHP4	BHLHA15			SDF4					
										ARHGEF3-AS1			ZNF664-FAM101A				MIR642B				GBP1P1	C16orf86		MIR581				MIR4787				C1orf167	ZNF800			MRTO4					
										CACNA2D3-AS1			MIR4498				PCAT19				FLJ27354	C16orf47		MIR582				MIR4795				FAM41C	GIMAP1			TMEM69					
										PRICKLE2-AS2			MIR4496				LOC100505585				MIR137HG	LOC390705		MIR583				MIR4444-1				LOC284632	PAXIP1-AS1			MRPL37					
										PRICKLE2-AS3			MIR4495				LOC100505622				NBPF9	CES1P2		GTF2H2C				MIR4443				LOC284661	C7orf33			HOOK1					
										LARS2-AS1			MIR4419B				NAPA-AS1				MIR101-1	PABPN1L		LINC00992				PRICKLE2-AS1				SLC25A34	TRY2P			HPCAL4					
										FCF1P2			MIR4472-2				LOC100505715				MIR137	FLJ26245		SERF1B				RBM5-AS1				ESPNP	FABP5P3			YTHDF2					
										SUCLG2-AS1			MIR4700				CARD8-AS1				MIR186	LOC400541		CCDC192				LINC00506				C1orf174	ZSCAN25			ZCCHC17					
										SAMMSON			MIR4497				PPP5D1				MIR197	LOC400548		MEIKIN				MIR5688				KLHL17	FAM200A			HSPB11					
										PDZRN3-AS1			MIR5188				PTOV1-AS1				LHX8	FENDRR		ZBED3-AS1				MIR5193				TMEM240	PPP1R35			PADI3					
										LOC101927296			MIR5700				DACT3-AS1				LINC01555	LOC400553		SCAMP1-AS1				SNRK-AS1				TMEM52	GPC2			CMPK1					
										LOC101927374			MIR548AQ				GFY				FLJ31662	LOC400558		ANKDD1B				MAGI1-AS1				LINC01141	LRWD1			ERRFI1					
										LOC101928323			LINC00507				MIA-RAB4B				LOC440600	C16orf74		GTF2H2C_2				ITIH4-AS1				AADACL4	FAM185A			WNT4					
										SEMA3B-AS1			LOC100996671				RAB4B-EGLN2				LOC440602	MIR138-2		LOC731157				VIPR1-AS1				PRAMEF5	FBXL13			YIPF1					
										IQCF5-AS1			LOC100996679				APOC4-APOC2				BCL2L15	MIR140		GUSBP9				SYNPR-AS1				HNRNPCL1	NAPEPLD			FBXO42					
										LOC101929054			ZNF891				MIR4749				NUDT4P1	NPIPB15		VTRNA2-1				CADM2-AS2				PRAMEF10	ATXN7L1			RNF186					
										LOC101929159			LOC101593348				MIR4750				HIST2H2BF	CTRB2		KIAA1024L				THOC7-AS1				SERINC2	CDHR3			SPATA6					
										C3orf67-AS1			LOC101927415				MIR4531				PGCP1	LOC440390		ARRDC3-AS1				ZNF197-AS1				FAM131C	TMEM130			MXRA8					
										ADAMTS9-AS1			LOC101927464				MIR4751				GEMIN8P4	MIR328		LRRC70				GLYCTK-AS1				PADI6	NYAP1			L1TD1					
										RASSF1-AS1			LOC101927592				MIR5088				RBMXL1	CLEC18B		CKMT2-AS1				CCDC13-AS1				DRAXIN	CNPY4			HES2					
										MIR5787			LOC101927616				NUCB1-AS1				FAM72C	SNORD68		FAM159B				ARHGEF3-AS1				SPATA21	POLR2J2			GPN2					
										MIR6823			LOC101927637				LIPE-AS1				SPATA42	UBE2MP1		LOC100133050				CACNA2D3-AS1				AGRN	UBN2			LEPROT					
										MIR6824			LOC101927694				LOC101059948				CYMP	CASC16		LOC100287592				PRICKLE2-AS2				CENPS	MBLAC1			FBLIM1					
										MIR6872			LOC101927735				LINC01480				LOC643355	LOC643802		LOC100289230				PRICKLE2-AS3				CATSPER4	TAS2R39			MED18					
										MIR6890			LINC01486				LOC101928063				LOC643441	CRNDE		LOC100289673				LARS2-AS1				GPR153	TAS2R40			TRIT1					
										MIR8064			TESC-AS1				LOC101928295				LINC00622	MT1IP		MIR1289-2				FCF1P2				FAM132A	TAS2R41			PQLC2					
										MIR6822			LOC101928416				PTOV1-AS2				PPIAL4G	APOOP5		MIR548F3				SUCLG2-AS1				HES5	CNPY1			CASZ1					
										LOC102724231			LOC101928530				LOC101930071				FAM231D	LINC00273		MIR1244-1				SAMMSON				SMIM1	LOC285889			RHBDL2					
										LOC102724297			LOC101928597				MIR6088				NBPF13P	KIAA0895L		MIR548P				PDZRN3-AS1				RNF207	WEE2-AS1			ADPRHL2					
										CELSR3-AS1			LOC101928731				MIR6797				PPIAL4D	TP53TG3C		TMED7-TICAM2				LOC101927296				TMEM82	EPHA1-AS1			TRNAU1AP					
										MIR548BB			LOC101928937				MIR6799				LOC645166	SNORA46		NCRUPAR				LOC101927374				TRNP1	TCAF2			C1orf109					
										FOXP1-AS1			LOC101929058				MIR6800				LOC646626	SNORA50A		LOC100303749				LOC101927494				CD164L2	ZNF775			CPSF3L					
										LOC105377102			LOC101929084				MIR8077				SETSIP	SNORD71		MIR2277				LOC101928323				HES3	LINC00996			C1orf123					
										LOC105377105			CASC18				MIR8085				EMBP1	SNORD111		MIR449C				SEMA3B-AS1				PRAMEF12	ATG9B			C1orf159					
										FAM3D-AS1			LOC101929162				MIR6798				SRGAP2B	LOC729159		MIR1244-3				IQCF5-AS1				PRAMEF8	DLX6-AS1			AURKAIP1					
										LOC105377143			MIR6760				LOC105372419				ACTG1P4	TP53TG3D		MIR1244-2				LOC101929054				PRAMEF18	ZNF789			TTC22					
										LOC105377146			MIR6761				LOC105372440				NBPF6	TP53TG3B		MIR4280				LOC101929159				PRAMEF17	SLC26A4-AS1			MRPL20					
										LOC105377162			MIR6762				LOC105447645				SRGAP2C	LINC00917		MTRNR2L2				C3orf67-AS1				PLA2G2C	LSMEM1			AIM1L					
										ARF4-AS1			MIR6861				PLA2G4C-AS1				PPIAL4A	SNORD111B		MIR3607				ADAMTS9-AS1				TMEM200B	TPI1P2			TMEM51					
										SNORD136			MIR7107				GLTSCR2-AS1				GPR89A	VPS9D1-AS1		MIR3660				RASSF1-AS1				FAM87B	FLJ40288			BSDC1					
										SNORA94			MIR7641-2								PPIAL4C	LOC100129617		MIR3936				MIR5787				PRAMEF4	MESTIT1			XKR8					
													MIR7844								HIST2H3D	LOC100129697		MIR3661				MIR6823				PRAMEF13	ST7-OT4			TMEM39B					
													MIR6763								FAM72B	URAHP		STARD4-AS1				MIR6824				SH2D5	TAS2R60			CDCA8					
													MIR6880								SCARNA2	TP53TG3HP		HNCAT21				MIR6872				NCMAP	BLACE			ARHGEF10L					
													MIR7106								SNORD45C	VAC14-AS1		LOC100505841				MIR6890				RNF223	CTAGE6			RNF220					
													MIR8072								MIR553	SYCE1L		LOC100505878				MIR8064				LDLRAD2	TSPAN33			VPS13D					
													THRIL								FAM72D	LOC100131303		TMEM161B-AS1				MIR6822				MIR200A	AGBL3			EVA1B					
													LINC01498								NBPF8	TAT-AS1		LUCAT1				LOC102724231				MIR200B	OR6V1			ATAD3A					
													LOC102724933								LINC00623	LOC100287036		LOC100506526				LOC102724297				MIR34A	OR2A12			TMEM57					
													LHX5-AS1								LOC728989	HERC2P4		OCLN				CELSR3-AS1				LINC00982	OR2A1			TRIM62					
													LINC00508								LOC729930	LOC100289580		BRCAT54				MIR548BB				PRAMEF11	MOGAT3			RAVER2					
													LOC105369911								LOC729970	MIR1538		MIR4804				FOXP1-AS1				PRAMEF6	FAM71F2			PANK4					
													LOC105369920								LOC729987	MIR1972-1		MIR4633				LOC105377102				HNRNPCL2	STRA8			ECHDC2					
													LOC105369921								PPIAL4E	MIR1910		MIR4461				LOC105377105				UQCRHL	KLRG2			FGGY					
													LOC105369945								PFN1P2	SNORA70D		MIR4459				FAM3D-AS1				MINOS1	WDR86			CAMK2N1					
													KCCAT198								PDZK1P1	MIR3182		MIR4454				LOC105377143				ANKRD65	GJC3			ASAP3					
													LOC105369980								MIR942	MIR1972-2		MIR3977				LOC105377146				PRAMEF7	DPY19L2P2			POMGNT1					
													LOC105370014								MIR760	MIR3181		MIR4460				LOC105377162				PRAMEF25	LOC349160			PNRC2					
													LOC105370016								LINC01349	MIR3935		MIR548AE2				ARF4-AS1				MIR429	GATS			PIGV					
													LOC105370024								LOC100129046	LINC00919		MIR4803				SNORD136				LINC01128	GSTK1			NBPF1					
													LOC105370068								LOC100129138	FTO-IT1		NNT-AS1				SNORA94				TMEM88B	NAT16			MAP7D1					
													CRAT8								LINC01160	LINC00920		LINC01023				SNORA95				FNDC10	SLC26A5			NDC1					
													XLOC_009911								LOC100129620	LOC100505942		MIR5687								RPS14P3	LHFPL3			NECAP2					
													LACAT8								CCDC18-AS1	SMG1P7		MIR5692C1								ACTG1P20	KCP			IQCC					
													LOC107161159								LOC100132057	LOC100506083		MIR5706								PIK3CD-AS1	LINC-PINT			DNAJC11					
																					NBPF10	LINC01568		LINC00492								PRAMEF26	RNF148			RCC2					
																					FCGR1CP	LOC100506281		P4HA2-AS1								PRAMEF33P	MGC72080			DMAP1					
																					ZRANB2-AS1	LINC01082		NREP-AS1								PRAMEF19	LAMTOR4			AJAP1					
																					AP4B1-AS1	C16orf95		C5orf66								PRAMEF20	FEZF1			GNG12					
																					NBPF20	LOC100507534		LINCR-0003								FAM138A	FAM180A			TMEM234					
																					HYDIN2	LOC100507577		IPO11-LRRC70								LACTBL1	LOC389602			MTFR1L					
																					GNG12-AS1	CKLF-CMTM1		LOC101927023								LOC646471	OR2A25			CTNNBIP1					
																					LINC00624	MIR4720		LOC101927059								PRAMEF34P	IQCA1L			RSRP1					
																					MIR320B1	MIR4722		FGF10-AS1								HNRNPCL3	OR2A5			AGTRAP					
																					MIR548N	MIR4719		LOC101927078								PRAMEF22	C7orf76			PITHD1					
																					MIR1262	MIR4426		LOC101927100								PRAMEF15	LINC00998			MAN1C1					
																					MIR3117	MIR548AI		LOC101927190								WASH7P	POT1-AS1			NIPAL3					
																					MIR4256	MIR5093		SEMA6A-AS1								FAM138C	PRRT4			SEPN1					
																					MIR3671	MIR5189		HRAT56								SCARNA1	RAB19			TP73-AS1					
																					SPATA1	LOC100996338		LOC101927357								FAM138D	OR2A7			PLEKHG5					
																					LINC01364	LOC100996345		LOC101927379								SNORA44	OR2A20P			LRRC47					
																					LOC100505824	PRCAT47		LOC101927421								SNORA61	ATP6V0E2-AS1			DISP3					
																					RTCA-AS1	FAM157C		LOC101927460								SNORA59A	LINC01000			KIF17					
																					FAM212B-AS1	LINC01081		LOC101927488								SNORA16A	KPNA7			ZSWIM5					
																					SLC16A1-AS1	ITFG1-AS1		TH2LCRR								SNORD103C	C7orf61			KIAA1522					
																					FPGT-TNNI3K	LOC101927132		LOC101927934								SNORD99	UFSP1			CACHD1					
																					TMEM56-RWDD3	LOC101927272		C5orf66-AS1								SNORD103A	MIR106B			MIER1					
																					MIR378G	LOC101927334		C5orf67								MIR551A	MIR129-1			HES4					
																					MIR4794	LINC01571		LOC101928505								C1orf195	MIR153-2			GRHL3					
																					MIR548AC	LOC101927480		LOC101928539								CDK11A	MIR182			DLGAP3					
																					MIR2682	LOC101927580		LOC101928569								SLC35E2B	MIR183			IL22RA1					
																					MIR4423	LOC101927650		LOC101928600								LINC01346	MIR25			HIVEP3					
																					MIR5087	BEAN1-AS1		CTC-436P18.1								C1orf234	MIR29A			GPBP1L1					
																					NEGR1-IT1	LOC101927793		LOC101928651								PRAMEF14	MIR29B1			MIIP					
																					ZRANB2-AS2	LOC101927817		LOC101928769								FAM231A	MIR93			CELA2A					
																					SRGAP2-AS1	LINC01572		LOC101928794								FAM231C	MIR96			GPATCH3					
																					DPYD-AS1	LOC101928035		LOC101928858								FLJ37453	LOC407835			DMRTB1					
																					DPYD-AS2	LOC101928203		LOC101928885								LOC729737	SPDYE3			DMRTA2					
																					VAV3-AS1	LINC01229		LOC101928924								OR4F29	SPDYE2			CLSPN					
																					KCNC4-AS1	LINC01227		LINC01333								MATN1-AS1	AKR1B15			PRDM16					
																					KCND3-AS1	LOC101928417		LOC101929109								LOC100129534	CTAGE15			OXCT2					
																					HAO2-IT1	LOC101928446		LOC101929154								LOC100130417	OR2A9P			RRAGC					
																					KCND3-IT1	LOC101928557		CTD-2201I18.1								LOC100132062	OR2A2			TINAGL1					
																					LOC100996251	LOC101928614		LOC101929380								LOC100132147	EIF3IP1			P3H1					
																					LOC100996263	LOC101928659		MEF2C-AS1								FAM231B	LMOD2			PLA2G2F					
																					FOXD3-AS1	LOC101928682		LINC01339								LOC100133331	MIR335			SMAP2					
																					LOC100996630	LOC101928708		LOC101929710								LINC01134	ARHGEF35			ATPAF1					
																					LOC100996635	LOC101928737		AK6								DDX11L1	GIMAP6			S100PBP					
																					LINC01356	LOC101928880		MIR6830								TTC34	WEE2			MEAF6					
																					SRGAP2D	MIR6504		LOC102467080								LOC100288069	POLR2J3			EXO5					
