cytoband	11q23.1	8p21.3	13q14.2	1p36.21	6q21	3p14.3	10q26.12	14q24.3	17p12	16q24.2	15q11.2	9p23	22q11.1	19p13.3	4q34.3	2q23.1	9p21.3	21q21.1	2q37.1	20p12.1	11p15.4	17q12	6p25.3	21q11.2	7q36.1	17p13.3	12q24.33	13q34	22q13.32	1p21.2	
																														SNORA59A	
																														SNORA16A	
																														SNORD45C	
																														SNORD103C	
																														SNORD99	
																														SNORD103A	
																														MIR551A	
																														MIR552	
																														MIR553	
																														C1orf195	
																														ZBTB8B	
																														LINC01137	
																														PPIEL	
																														CCDC30	
																														CDK11A	
																														SLC35E2B	
																														LINC01346	
																														FAM72D	
																														NBPF8	
																														LINC00623	
																														RPS15AP10	
																														LOC728989	
																														FAAHP1	
																														C1orf234	
																														HSD52	
																														PRAMEF14	
																														FAM231A	
																														FAM231C	
																														FLJ37453	
																														LOC729737	
																														OR4F29	
																														LOC729930	
																														LOC729970	
																														LOC729987	
																														PPIAL4E	
																														PFN1P2	
																														PDZK1P1	
																														MIR942	
																														MIR760	
																														FAM229A	
																														LINC01349	
																														LOC100129046	
																														LOC100129138	
																														MATN1-AS1	
																														LINC01160	
																														LOC100129534	
																														LOC100129620	
																														LOC100129924	
																														EFCAB14-AS1	
																														LOC100130417	
																														NFYC-AS1	
																														LINC01135	
																														CCDC18-AS1	
																														LOC100132057	
																														LOC100132062	
																														FOXO6	
																														LOC100132147	
																														NBPF10	
																														FCGR1CP	
																														ZRANB2-AS1	
																														KDM4A-AS1	
																														FAM231B	
																														LOC100133331	
																														LINC01134	
																														DDX11L1	
																														AP4B1-AS1	
																														TTC34	
																														LOC100288069	
																														NBPF20	
																														HYDIN2	
																														GNG12-AS1	
																														LINC00624	
																														MIR320B1	
																														MIR548N	
																														MIR1256	
																														MIR1976	
																														MIR1290	
																														MIR1302-2	
																														MIR1262	
																														MIR761	
																														NPPA-AS1	
																														MIR1302-9	
																														MIR1302-10	
																														MIR3115	
																														MIR3117	
																														MIR4255	
																														MIR3116-1	
																														MIR4253	
																														MIR1302-11	
																														MIR3116-2	
																														MIR4251	
																														MIR1273D	
																														MIR4252	
																														MIR4256	
																														MIR4257	
																														MIR4254	
																														MIR3659	
																														MIR3917	
																														MIR3605	
																														MIR3671	
																														MIR3675	
																														SPATA1	
																														LINC01364	
																														LOC100505824	
																														LOC100505887	
																														ENO1-AS1	
																														RTCA-AS1	
																														LOC100506022	
																														TMEM35B	
																														FAM212B-AS1	
																														SLC16A1-AS1	
																														LOC100506730	
																														LOC100506801	
																														TCEB3-AS1	
																														LOC100506985	
																														SLFNL1-AS1	
																														MKNK1-AS1	
																														LOC100507564	
																														LOC100507634	
																														APITD1-CORT	
																														FPGT-TNNI3K	
																														GJA9-MYCBP	
																														MROH7-TTC4	
																														TMEM56-RWDD3	
																														MINOS1-NBL1	
																														MIR4695	
																														MIR1273G	
																														MIR1273F	
																														MIR4420	
																														MIR4419A	
																														MIR3972	
																														MIR4421	
																														MIR4422	
																														MIR4781	
																														MIR378G	
																														MIR4794	
																														MIR4425	
																														MIR548AC	
																														MIR4684	
																														MIR4711	
																														MIR4689	
																														MIR5096	
																														MIR4418	
																														MIR4632	
																														MIR2682	
																														MIR5095	
																														MIR4423	
																														MIR4417	
																														MIR378F	
																														RCAN3AS	
																														MIR5581	
																														MIR5585	
																														MIR5087	
																														MIR5697	
																														MIR5584	
																														NEGR1-IT1	
																														ZRANB2-AS2	
																														PINK1-AS	
																														SRGAP2-AS1	
																														DPYD-AS1	
																														DPYD-AS2	
																														MTOR-AS1	
																														VAV3-AS1	
																														KCNC4-AS1	
																														KCND3-AS1	
																														FALEC	
																														LINC00853	
																														HAO2-IT1	
																														ERI3-IT1	
																														KCND3-IT1	
																														AGBL4-IT1	
																														LOC100996251	
																														LOC100996263	
																														FOXD3-AS1	
																														LINC01355	
																														NFIA-AS2	
																														LOC100996583	
																														LOC100996630	
																														LOC100996635	
																														LINC01356	
																														SRGAP2D	
																														HNRNPCL4	
																														LAMTOR5-AS1	
																														RNVU1-8	
																														DAB1-AS1	
																														LINC01358	
																														LOC101926944	
																														LOC101926964	
																														ROR1-AS1	
																														LINC01359	
																														LOC101927139	
																														DEPDC1-AS1	
																														LOC101927244	
																														LINC01360	
																														ERICH3-AS1	
																														LOC101927342	
																														LOC101927412	
																														LOC101927429	
																														LOC101927434	
																														LOC101927468	
																														LINC01361	
																														LOC101927560	
																														LOC101927587	
																														LOC101927844	
																														LOC101927876	
																														PKN2-AS1	
																														LOC101927895	
																														UBXN10-AS1	
																														LOC101928043	
																														LINC01057	
																														LOC101928098	
																														LOC101928118	
																														LOC101928163	
																														LOC101928241	
																														LOC101928270	
																														LOC101928303	
																														LOC101928324	
																														LOC101928370	
																														LOC101928436	
																														LOC101928460	
																														LOC101928476	
																														LOC101928626	
																														LOC101928718	
																														LOC101928728	
																														HIPK1-AS1	
																														LOC101928977	
																														LOC101928979	
																														LOC101928995	
																														LOC101929023	
																														PIK3CD-AS2	
																														LOC101929099	
																														LOC101929147	
																														LOC101929181	
																														LOC101929406	
																														LOC101929464	
																														LOC101929516	
																														LOC101929536	
																														LOC101929592	
																														LOC101929626	
																														LINC01398	
																														LOC101929721	
																														NBPF25P	
																														LOC101929798	
																														LOC101929901	
																														LOC101929935	
																														PRAMEF27	
																														RNVU1-4	
																														RNVU1-14	
																														RNVU1-15	
																														RNVU1-20	
																														RNVU1-17	
																														RNVU1-3	
																														RNVU1-1	
																														RNU6-7	
																														RNVU1-6	
																														RNVU1-19	
																														RNU6-8	
																														MIR6068	
																														MIR6079	
																														MIR6084	
																														MIR6723	
																														MIR6726	
																														MIR6727	
																														MIR6728	
																														MIR6731	
																														MIR6732	
																														MIR6733	
																														MIR6735	
																														MIR6878	
																														MIR7846	
																														MIR7852	
																														MIR7856	
																														MIR6859-2	
																														MIR6859-3	
																														MIR6736	
																														MIR6077	
																														MIR6127	
																														MIR6500	
																														MIR6730	
																														MIR6734	
																														MIR6808	
																														MIR6859-1	
																														MIR6729	
																														MIR7156	
																														LOC102606465	
																														LOC102723661	
																														LINC01389	
																														TTC39A-AS1	
																														LOC102724312	
																														LOC102724450	
																														LOC102724539	
																														LOC102724552	
																														CH17-408M7.1	
																														LOC102724571	
																														LOC102724659	
																														LOC103091866	
																														RNU6-2	
																														LINC01461	
																														LINC01397	
																														TXNDC12-AS1	
																														LINC01307	
																														LINC01525	
																														WARS2-IT1	
																														LOC105371433	
																														LOC105376736	
																														LOC105376805	
																														LOC105378591	
																														LOC105378614	
																														LOC105378663	
																														LOC105378683	
																														LOC105378732	
																														LOC105378828	
																														LOC105378853	
																														LOC105378933	
																														MIR34AHG	
																														SNORD128	
																														SNORA110	
